,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
138,Maniitsoq,GL,273.11,few clouds,65.4167,-52.9,Hotel Heilmann Lyberth
140,Caravelas,BR,295.12,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
142,Puerto Ayora,EC,297.34,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
143,Thompson,CA,275.24,clear sky,55.7435,-97.8558,Thompson Inn
144,Chunskiy,RU,278.28,overcast clouds,56.0815,99.6342,Теремок
145,New Norfolk,AU,291.87,light rain,-42.7826,147.0587,Woodbridge on the Derwent
147,Chilca,PE,295.03,few clouds,-12.5211,-76.7372,Hotel Benvenuto
149,Onoda,JP,296.09,clear sky,34.0014,131.1836,小野田オリエンタルホテル
150,Dakar,SN,293.64,few clouds,14.6937,-17.4441,翁记小吃
153,Shimoda,JP,294.35,few clouds,34.6667,138.95,ホテルウラガ
155,Hobart,AU,291.51,overcast clouds,-42.8794,147.3294,Vibe Hotel Hobart
157,Bad Wurzach,DE,281.86,overcast clouds,47.9,9.9,Gesundheitshotel Rössle
158,Porto Santo,PT,291.36,few clouds,33.072,-16.3415,Praia Dourada
160,Prince Rupert,CA,279.98,broken clouds,54.3161,-130.3201,Crest Hotel
162,Kisangani,CD,295.51,overcast clouds,0.5167,25.2,Hotel Kisangani
164,Chowchilla,US,294.97,clear sky,37.123,-120.2602,Holiday Inn Express & Suites
165,Klaksvik,FO,273.66,snow,62.2266,-6.589,Hotel Klaksvik
167,Portland,US,292.14,scattered clouds,45.5234,-122.6762,the Hoxton
168,Svetlogorsk,BY,277.97,overcast clouds,52.6333,29.7333,Гасцініца Светач
170,Marystown,CA,273.91,few clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
171,Namibe,AO,298.35,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
172,Santa Isabel Do Rio Negro,BR,294.78,overcast clouds,-0.4139,-65.0192,Hotel Maikon
173,Morant Bay,JM,299.94,broken clouds,17.8815,-76.4093,Morant Villas
175,Cayenne,GF,296.17,mist,4.9333,-52.3333,Central Hôtel
178,Bani Walid,LY,292.63,clear sky,31.7566,13.9942,فندق الزيتونة
