,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
642,Ikot Ekpene,NG,297.41,moderate rain,5.1794,7.7108,"Four Points by Sheraton, Ikot Ekpene"
644,Zhoucheng,CN,299.69,clear sky,35.9122,116.3117,水浒度假酒店
646,Rio Gallegos,AR,278.18,clear sky,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
649,Uray,RU,290.04,overcast clouds,60.1247,64.7758,Турсунт
650,Paamiut,GL,273.92,overcast clouds,61.994,-49.6678,Hotel Ivaana
653,Ornskoldsvik,SE,274.68,fog,63.2909,18.7153,Hotell Focus
654,Greenwood,US,286.64,mist,34.1668,-82.1165,Hospitality Suites
655,La Asuncion,VE,299.0,broken clouds,11.0333,-63.8628,Hotel La Ciudad
661,West Bay,KY,299.26,broken clouds,19.3667,-81.4167,Bonnie's Arch
664,Altamira,BR,295.45,overcast clouds,-3.2033,-52.2064,Hotel Vale do Xingu
666,Halifax,CA,277.42,moderate rain,44.6453,-63.5724,Four Points by Sheraton Halifax
667,Berberati,CF,293.99,broken clouds,4.2612,15.7922,Hotel Mont Fleury
668,Royan,FR,285.25,light rain,45.6285,-1.0281,Le Pasteur
670,Trinidad,BO,296.21,clear sky,-14.8333,-64.9,Hotel Palace
671,Terney,RU,285.36,broken clouds,45.0503,136.6092,Терней
674,Huescar,ES,290.41,overcast clouds,37.811,-2.5412,El Maño
675,Baghdad,IQ,298.1,clear sky,33.3406,44.4009,AL Bedaa Hotel
678,Sioux Lookout,CA,274.19,mist,50.1001,-91.917,Wellington Inn & Restaurant
679,Christchurch,NZ,286.99,clear sky,-43.5333,172.6333,Ibis Hotel Christchurch
680,Sangar,RU,277.33,broken clouds,63.9242,127.4739,"Гостевой дом ""Северный"""
682,Aldan,RU,276.54,scattered clouds,58.6031,125.3894,гостинница Велком Плаза
683,Pinyug,RU,282.64,overcast clouds,60.251,47.7842,ж\д дом отдыха
685,Jackson,US,293.68,clear sky,42.4165,-122.8345,Brookside
686,La Ronge,CA,276.29,light rain,55.1001,-105.2842,La Ronge Hotel and Suites
688,Pombas,CV,294.03,few clouds,17.1503,-25.0201,Aldeia Jerome
691,Arnoldstein,AT,281.96,overcast clouds,46.5461,13.71,Wellcum
692,Naze,JP,293.66,few clouds,28.3667,129.4833,ビジネス旅館畠山
693,Fort-Shevchenko,KZ,289.96,clear sky,44.5086,50.263,Akku
695,Palmas Bellas,PA,296.74,broken clouds,9.2319,-80.0867,ISHQ AirBnb
696,Severodvinsk,RU,277.21,broken clouds,64.5635,39.8302,Hermitage
698,Itarema,BR,297.93,heavy intensity rain,-2.9248,-39.9167,Pousada Oásis
699,Puerto Del Rosario,ES,292.01,clear sky,28.5004,-13.8627,Hotel Tamasite
700,Tynda,RU,277.13,scattered clouds,55.1667,124.7167,Таежная
702,Alto Araguaia,BR,292.41,clear sky,-17.3147,-53.2153,Hotel Araguaia
703,Awbari,LY,297.33,clear sky,26.5921,12.7805,فندق اوباري
